1,Goroka Airport,Goroka,Papua New Guinea
2,Madang Airport,Madang,Papua New Guinea
3,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea
4,Nadzab Airport,Nadzab,Papua New Guinea
5,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea
6,Wewak International Airport,Wewak,Papua New Guinea
7,Narsarsuaq Airport,Narssarssuaq,Greenland
8,Godthaab / Nuuk Airport,Godthaab,Greenland
9,Kangerlussuaq Airport,Sondrestrom,Greenland
10,Thule Air Base,Thule,Greenland
11,Akureyri Airport,Akureyri,Iceland
12,Egilsstaðir Airport,Egilsstadir,Iceland
13,Hornafjörður Airport,Hofn,Iceland
14,Húsavík Airport,Husavik,Iceland
15,Ísafjörður Airport,Isafjordur,Iceland
16,Keflavik International Airport,Keflavik,Iceland
17,Patreksfjörður Airport,Patreksfjordur,Iceland
18,Reykjavik Airport,Reykjavik,Iceland
19,Siglufjörður Airport,Siglufjordur,Iceland
20,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland
21,Sault Ste Marie Airport,Sault Sainte Marie,Canada
22,Winnipeg / St. Andrews Airport,Winnipeg,Canada
23,Halifax / CFB Shearwater Heliport,Halifax,Canada
24,St. Anthony Airport,St. Anthony,Canada
25,Tofino / Long Beach Airport,Tofino,Canada
26,Kugaaruk Airport,Pelly Bay,Canada
27,Baie Comeau Airport,Baie Comeau,Canada
28,CFB Bagotville,Bagotville,Canada
29,Baker Lake Airport,Baker Lake,Canada
30,Campbell River Airport,Campbell River,Canada
31,Brandon Municipal Airport,Brandon,Canada
32,Cambridge Bay Airport,Cambridge Bay,Canada
33,Nanaimo Airport,Nanaimo,Canada
34,Castlegar/West Kootenay Regional Airport,Castlegar,Canada
35,Miramichi Airport,Chatham,Canada
36,Charlo Airport,Charlo,Canada
37,Kugluktuk Airport,Coppermine,Canada
